mac_known,role,login_hour,failed_attempts,login_frequency,access_decision
1,Faculty,8,5,3,Blocked
0,Guest,9,2,1,Blocked
0,Guest,4,0,7,Blocked
0,Faculty,4,7,4,Blocked
1,Guest,3,1,1,Blocked
1,Guest,17,2,9,Restricted
0,Guest,23,0,6,Blocked
0,Student,5,6,4,Blocked
0,Guest,16,7,10,Blocked
1,Guest,22,5,4,Blocked
1,Student,0,7,9,Blocked
1,Guest,19,6,6,Blocked
1,Student,15,6,8,Blocked
0,Guest,2,1,10,Blocked
1,Guest,10,7,6,Blocked
1,Student,1,2,5,Restricted
0,Faculty,21,2,2,Blocked
1,Student,20,6,5,Blocked
0,Faculty,16,6,5,Blocked
1,Guest,3,2,7,Blocked
1,Guest,10,0,8,Allowed
1,Guest,7,4,2,Blocked
1,Student,7,7,3,Blocked
0,Student,14,3,7,Blocked
0,Guest,6,4,9,Blocked
1,Student,14,6,2,Blocked
0,Guest,7,5,8,Blocked
1,Guest,15,4,10,Blocked
0,Faculty,8,6,1,Blocked
0,Faculty,8,1,8,Blocked
0,Faculty,18,1,1,Blocked
1,Student,12,1,3,Allowed
0,Student,14,4,2,Blocked
0,Faculty,0,7,8,Blocked
0,Guest,18,2,1,Blocked
1,Guest,23,0,8,Allowed
1,Student,4,7,5,Blocked
1,Faculty,16,4,8,Blocked
1,Guest,19,7,9,Blocked
1,Guest,2,5,1,Blocked
1,Guest,15,2,8,Restricted
1,Guest,20,6,4,Blocked
1,Guest,17,3,9,Blocked
1,Guest,7,0,1,Allowed
1,Faculty,12,4,7,Blocked
0,Student,17,4,8,Blocked
0,Guest,21,1,9,Blocked
1,Guest,20,3,2,Blocked
0,Student,5,7,9,Blocked
1,Guest,20,4,3,Blocked
0,Faculty,16,4,3,Blocked
0,Student,18,3,2,Blocked
1,Guest,21,6,5,Blocked
0,Student,21,7,10,Blocked
1,Guest,19,5,7,Blocked
1,Student,13,1,4,Allowed
0,Faculty,15,4,2,Blocked
1,Student,12,2,2,Restricted
0,Student,23,6,3,Blocked
0,Faculty,20,6,6,Blocked
0,Faculty,11,4,8,Blocked
1,Faculty,9,7,8,Blocked
1,Guest,23,0,6,Allowed
0,Student,21,1,7,Blocked
1,Guest,6,0,1,Allowed
1,Guest,10,4,9,Blocked
1,Student,23,1,3,Allowed
0,Student,13,6,9,Blocked
0,Guest,0,0,5,Blocked
1,Faculty,8,7,10,Blocked
0,Student,19,1,3,Blocked
0,Faculty,2,0,2,Blocked
0,Guest,21,7,4,Blocked
0,Student,16,5,4,Blocked
1,Faculty,9,7,8,Blocked
1,Guest,12,5,1,Blocked
0,Guest,7,4,1,Blocked
1,Faculty,1,1,8,Allowed
0,Student,10,5,5,Blocked
0,Guest,4,0,6,Blocked
0,Guest,17,4,1,Blocked
0,Student,16,5,2,Blocked
1,Student,18,3,7,Blocked
0,Student,3,6,2,Blocked
0,Student,23,3,7,Blocked
0,Student,20,6,9,Blocked
1,Guest,13,6,1,Blocked
1,Student,10,4,2,Blocked
0,Student,2,0,7,Blocked
1,Student,10,7,1,Blocked
0,Student,7,0,8,Blocked
1,Guest,13,1,8,Restricted
1,Faculty,6,5,6,Blocked
0,Faculty,20,4,6,Blocked
1,Student,23,2,7,Restricted
0,Student,3,6,1,Blocked
1,Guest,18,2,4,Restricted
0,Faculty,7,6,1,Blocked
1,Faculty,2,1,2,Allowed
1,Student,9,1,7,Allowed
1,Guest,13,2,1,Restricted
0,Guest,9,5,1,Blocked
0,Faculty,21,7,5,Blocked
0,Faculty,14,7,10,Blocked
0,Faculty,11,2,9,Blocked
1,Guest,6,6,8,Blocked
0,Faculty,18,2,9,Blocked
0,Faculty,18,2,10,Blocked
1,Guest,0,7,3,Blocked
0,Guest,8,0,5,Blocked
1,Student,19,1,7,Allowed
1,Faculty,1,2,6,Restricted
0,Guest,1,5,4,Blocked
0,Faculty,5,2,4,Blocked
0,Student,19,6,1,Blocked
1,Faculty,16,4,4,Blocked
1,Student,13,4,7,Blocked
0,Faculty,3,2,2,Blocked
1,Faculty,6,1,5,Allowed
0,Guest,12,1,9,Blocked
0,Faculty,1,0,4,Blocked
0,Guest,11,6,4,Blocked
0,Student,9,7,8,Blocked
1,Student,22,3,6,Blocked
0,Guest,17,3,8,Blocked
0,Faculty,21,6,5,Blocked
1,Student,14,6,7,Blocked
0,Guest,18,0,2,Blocked
0,Student,7,7,9,Blocked
0,Faculty,0,0,3,Blocked
1,Guest,22,7,3,Blocked
0,Faculty,5,4,9,Blocked
1,Guest,20,7,10,Blocked
1,Student,0,4,6,Blocked
0,Student,13,0,4,Blocked
1,Guest,11,5,7,Blocked
0,Guest,11,4,10,Blocked
1,Guest,18,1,1,Allowed
0,Faculty,5,4,10,Blocked
1,Student,2,2,2,Blocked
1,Student,6,4,10,Blocked
0,Faculty,21,0,10,Blocked
1,Guest,0,3,8,Blocked
1,Student,2,4,6,Blocked
1,Faculty,3,5,5,Blocked
1,Guest,23,4,4,Blocked
1,Faculty,23,1,1,Allowed
1,Guest,5,1,1,Blocked
0,Guest,20,2,1,Blocked
1,Guest,22,3,5,Blocked
0,Guest,16,6,5,Blocked
1,Faculty,16,2,4,Restricted
0,Student,11,0,5,Blocked
0,Student,10,6,1,Blocked
1,Guest,19,5,8,Blocked
0,Guest,11,5,4,Blocked
0,Faculty,17,1,1,Blocked
0,Student,5,1,5,Blocked
0,Student,14,4,3,Blocked
1,Guest,6,4,3,Blocked
1,Guest,2,4,9,Blocked
0,Guest,5,7,1,Blocked
1,Faculty,5,4,10,Blocked
0,Guest,8,0,4,Blocked
1,Faculty,23,2,9,Restricted
0,Guest,9,7,4,Blocked
0,Student,23,1,7,Blocked
1,Student,14,7,1,Blocked
0,Guest,1,4,3,Blocked
0,Faculty,13,0,1,Blocked
1,Faculty,3,0,6,Restricted
1,Faculty,1,2,3,Restricted
1,Faculty,7,2,3,Restricted
1,Faculty,20,7,6,Blocked
0,Student,11,6,8,Blocked
0,Faculty,0,2,7,Blocked
1,Faculty,0,3,4,Blocked
0,Guest,18,1,7,Blocked
1,Student,15,7,4,Blocked
0,Faculty,9,7,4,Blocked
1,Faculty,7,6,10,Blocked
1,Faculty,23,5,9,Blocked
1,Faculty,13,1,3,Allowed
1,Guest,16,2,4,Restricted
1,Student,0,5,7,Blocked
1,Student,2,1,4,Allowed
0,Guest,23,7,10,Blocked
1,Guest,8,3,1,Blocked
0,Student,10,0,7,Blocked
1,Guest,3,5,5,Blocked
1,Faculty,22,6,4,Blocked
0,Guest,4,6,9,Blocked
0,Student,4,7,1,Blocked
0,Student,1,5,5,Blocked
1,Student,14,6,2,Blocked
1,Student,7,2,9,Restricted
1,Faculty,10,3,4,Blocked
0,Student,0,7,4,Blocked
1,Student,22,6,1,Blocked
1,Student,15,5,9,Blocked
0,Faculty,14,6,10,Blocked
0,Student,16,0,10,Blocked
1,Faculty,2,0,1,Restricted
1,Guest,11,4,3,Blocked
0,Guest,11,3,6,Blocked
0,Faculty,19,5,5,Blocked
1,Student,2,2,6,Blocked
0,Student,13,6,4,Blocked
0,Student,3,0,7,Blocked
0,Faculty,15,4,6,Blocked
0,Guest,14,0,3,Blocked
0,Guest,8,6,5,Blocked
0,Guest,23,1,2,Blocked
1,Student,10,3,10,Blocked
1,Student,19,4,9,Blocked
1,Guest,2,5,6,Blocked
1,Student,16,3,1,Blocked
0,Student,3,1,7,Blocked
0,Faculty,2,0,1,Blocked
0,Guest,8,0,1,Blocked
1,Guest,11,4,2,Blocked
1,Student,5,2,9,Restricted
1,Faculty,16,3,6,Blocked
0,Student,14,1,9,Blocked
1,Student,15,7,1,Blocked
0,Student,11,6,8,Blocked
0,Student,10,1,9,Blocked
0,Faculty,19,3,4,Blocked
0,Guest,23,7,5,Blocked
0,Student,5,2,2,Blocked
0,Guest,20,7,10,Blocked
0,Faculty,0,5,1,Blocked
1,Guest,3,7,3,Blocked
1,Student,23,5,1,Blocked
0,Faculty,4,6,9,Blocked
1,Guest,1,2,1,Blocked
0,Student,3,5,2,Blocked
0,Guest,6,6,5,Blocked
1,Faculty,22,2,7,Restricted
0,Student,6,0,6,Blocked
1,Guest,8,0,2,Allowed
1,Student,17,4,9,Blocked
0,Student,14,2,5,Blocked
1,Guest,13,4,5,Blocked
1,Guest,1,2,9,Blocked
1,Faculty,5,5,3,Blocked
0,Faculty,1,1,6,Blocked
1,Guest,3,1,9,Blocked
0,Student,19,2,7,Blocked
0,Guest,23,2,1,Blocked
0,Guest,21,2,6,Blocked
1,Student,0,7,1,Blocked
1,Student,2,6,6,Blocked
0,Guest,2,4,1,Blocked
1,Guest,8,1,5,Allowed
1,Student,4,4,5,Blocked
0,Student,22,1,9,Blocked
1,Guest,23,3,1,Blocked
1,Guest,17,3,3,Blocked
0,Student,22,6,6,Blocked
1,Student,8,0,7,Allowed
1,Faculty,17,7,5,Blocked
1,Student,21,4,5,Blocked
1,Guest,19,5,1,Blocked
0,Faculty,3,2,7,Blocked
1,Student,6,7,8,Blocked
0,Student,11,5,1,Blocked
1,Guest,8,4,9,Blocked
0,Guest,19,2,7,Blocked
0,Faculty,23,6,5,Blocked
1,Faculty,17,5,7,Blocked
0,Faculty,23,3,8,Blocked
1,Faculty,22,6,8,Blocked
0,Student,0,3,1,Blocked
1,Student,7,2,6,Restricted
1,Student,5,1,7,Allowed
0,Guest,23,1,4,Blocked
1,Faculty,14,0,9,Allowed
0,Guest,13,0,6,Blocked
0,Student,23,3,3,Blocked
1,Faculty,22,3,2,Blocked
0,Student,4,4,8,Blocked
0,Faculty,18,1,4,Blocked
1,Faculty,19,3,9,Blocked
1,Student,17,1,7,Allowed
0,Student,18,5,2,Blocked
1,Guest,23,0,1,Allowed
0,Student,11,7,7,Blocked
0,Faculty,14,3,1,Blocked
1,Guest,10,2,5,Restricted
0,Faculty,1,6,4,Blocked
1,Faculty,23,4,6,Blocked
0,Faculty,3,1,6,Blocked
0,Guest,8,4,4,Blocked
0,Guest,13,3,4,Blocked
1,Faculty,22,6,4,Blocked
1,Faculty,1,1,6,Allowed
1,Guest,11,5,5,Blocked
0,Guest,23,6,7,Blocked
0,Faculty,1,1,6,Blocked
1,Guest,8,7,6,Blocked
1,Student,17,4,4,Blocked
1,Guest,9,7,7,Blocked
0,Student,23,1,4,Blocked
1,Faculty,4,4,5,Blocked
0,Student,22,5,9,Blocked
1,Guest,11,4,2,Blocked
0,Student,22,7,10,Blocked
1,Guest,21,6,7,Blocked
1,Student,6,4,5,Blocked
1,Guest,18,3,6,Blocked
0,Student,12,2,7,Blocked
0,Guest,12,1,6,Blocked
0,Guest,9,3,8,Blocked
0,Guest,15,5,8,Blocked
0,Faculty,21,6,3,Blocked
1,Faculty,19,6,7,Blocked
0,Faculty,9,7,4,Blocked
0,Faculty,23,7,2,Blocked
0,Faculty,5,2,1,Blocked
1,Guest,17,2,8,Restricted
0,Student,8,6,4,Blocked
1,Guest,23,3,9,Blocked
0,Student,14,5,3,Blocked
1,Faculty,21,4,8,Blocked
0,Student,14,7,1,Blocked
0,Student,14,3,2,Blocked
1,Guest,22,4,3,Blocked
1,Guest,18,0,3,Allowed
1,Faculty,8,1,8,Allowed
0,Faculty,17,3,4,Blocked
1,Guest,7,1,8,Allowed
1,Student,14,6,10,Blocked
0,Student,1,1,6,Blocked
1,Student,14,5,9,Blocked
0,Faculty,0,5,10,Blocked
0,Faculty,6,7,3,Blocked
0,Student,4,3,8,Blocked
1,Guest,5,1,4,Blocked
1,Guest,21,7,8,Blocked
0,Guest,15,1,7,Blocked
1,Student,0,1,8,Allowed
0,Faculty,3,3,3,Blocked
1,Guest,14,0,9,Allowed
0,Guest,22,7,5,Blocked
0,Faculty,16,3,4,Blocked
0,Guest,7,1,3,Blocked
1,Guest,12,2,4,Restricted
1,Guest,4,2,1,Blocked
1,Guest,0,5,5,Blocked
0,Student,16,6,9,Blocked
1,Faculty,18,7,1,Blocked
1,Faculty,5,7,8,Blocked
1,Guest,3,1,1,Blocked
1,Guest,21,6,7,Blocked
1,Guest,15,1,2,Restricted
1,Guest,19,0,2,Allowed
0,Student,11,2,1,Blocked
0,Guest,15,0,4,Blocked
1,Student,6,0,1,Allowed
1,Student,23,0,10,Restricted
0,Faculty,8,3,9,Blocked
0,Student,22,0,8,Blocked
0,Faculty,11,3,7,Blocked
0,Student,1,2,4,Blocked
0,Faculty,16,2,1,Blocked
1,Faculty,9,3,7,Blocked
0,Student,18,2,9,Blocked
1,Guest,20,5,6,Blocked
1,Student,15,0,9,Allowed
0,Student,5,7,8,Blocked
1,Student,10,7,1,Blocked
1,Faculty,17,6,7,Blocked
0,Student,5,0,2,Blocked
0,Student,2,5,6,Blocked
0,Faculty,8,1,1,Blocked
1,Guest,1,1,10,Blocked
1,Faculty,22,2,10,Restricted
1,Faculty,0,4,6,Blocked
0,Student,17,3,2,Blocked
1,Faculty,13,0,1,Allowed
0,Faculty,10,6,3,Blocked
1,Guest,19,3,7,Blocked
0,Guest,12,1,1,Blocked
0,Guest,16,4,7,Blocked
1,Guest,12,2,3,Restricted
0,Student,15,2,3,Blocked
0,Faculty,11,5,4,Blocked
0,Faculty,20,5,6,Blocked
0,Guest,0,2,9,Blocked
0,Guest,4,2,4,Blocked
1,Student,17,0,5,Allowed
0,Faculty,9,3,3,Blocked
0,Guest,20,4,6,Blocked
1,Guest,23,5,5,Blocked
1,Student,9,4,5,Blocked
0,Student,22,7,7,Blocked
0,Faculty,12,4,10,Blocked
1,Student,22,4,10,Blocked
0,Student,18,7,10,Blocked
1,Guest,18,5,6,Blocked
1,Guest,21,6,8,Blocked
0,Guest,9,0,7,Blocked
1,Faculty,6,4,1,Blocked
0,Student,6,4,3,Blocked
0,Guest,8,4,9,Blocked
1,Student,12,0,1,Allowed
0,Faculty,3,6,1,Blocked
0,Student,11,7,5,Blocked
1,Guest,19,5,5,Blocked
1,Guest,22,7,8,Blocked
0,Guest,3,3,6,Blocked
0,Student,14,3,10,Blocked
1,Guest,12,3,2,Blocked
0,Guest,21,4,2,Blocked
1,Faculty,17,1,1,Allowed
0,Faculty,3,2,8,Blocked
0,Guest,1,2,6,Blocked
0,Faculty,23,1,5,Blocked
0,Faculty,11,5,2,Blocked
1,Faculty,17,3,6,Blocked
0,Faculty,0,0,2,Blocked
1,Student,7,2,1,Restricted
0,Faculty,7,6,6,Blocked
1,Guest,17,0,10,Allowed
1,Student,13,2,4,Restricted
1,Guest,8,3,8,Blocked
1,Student,8,5,9,Blocked
1,Guest,4,6,7,Blocked
0,Student,8,5,2,Blocked
0,Student,15,1,7,Blocked
0,Guest,2,4,6,Blocked
0,Guest,2,0,2,Blocked
0,Student,10,2,1,Blocked
1,Student,22,4,4,Blocked
0,Guest,4,4,3,Blocked
0,Guest,4,7,2,Blocked
0,Guest,14,7,7,Blocked
1,Faculty,20,3,8,Blocked
0,Faculty,14,3,5,Blocked
0,Faculty,12,1,2,Blocked
1,Faculty,0,5,8,Blocked
0,Faculty,15,2,8,Blocked
1,Faculty,21,1,6,Allowed
1,Faculty,11,2,7,Restricted
1,Student,7,5,8,Blocked
1,Guest,16,7,6,Blocked
1,Guest,5,7,7,Blocked
1,Faculty,18,5,5,Blocked
1,Faculty,17,7,9,Blocked
0,Faculty,12,6,8,Blocked
1,Guest,18,6,9,Blocked
1,Student,20,5,5,Blocked
0,Faculty,23,5,4,Blocked
0,Guest,4,3,3,Blocked
1,Guest,19,3,1,Blocked
1,Student,14,0,5,Allowed
0,Student,10,2,2,Blocked
1,Faculty,22,1,10,Allowed
1,Faculty,20,5,7,Blocked
0,Faculty,4,4,4,Blocked
1,Student,4,3,4,Blocked
0,Guest,12,0,5,Blocked
0,Student,14,3,3,Blocked
0,Student,20,5,3,Blocked
1,Faculty,10,4,8,Blocked
0,Guest,4,7,6,Blocked
0,Faculty,5,0,7,Blocked
1,Guest,16,4,10,Blocked
0,Guest,16,2,7,Blocked
0,Student,0,1,1,Blocked
0,Guest,18,2,9,Blocked
0,Faculty,11,7,4,Blocked
0,Guest,2,6,1,Blocked
0,Guest,4,1,1,Blocked
1,Guest,11,7,3,Blocked
0,Faculty,18,2,7,Blocked
0,Guest,20,3,1,Blocked
1,Faculty,15,1,7,Allowed
0,Guest,6,1,5,Blocked
1,Student,19,4,8,Blocked
0,Guest,23,5,2,Blocked
1,Student,2,2,7,Blocked
1,Faculty,5,6,2,Blocked
1,Guest,20,4,1,Blocked
1,Faculty,5,6,8,Blocked
1,Student,13,2,7,Restricted
0,Guest,11,3,6,Blocked
0,Student,21,2,5,Blocked
1,Faculty,0,4,4,Blocked
1,Student,1,7,5,Blocked
1,Guest,2,4,9,Blocked
0,Faculty,3,1,10,Blocked
1,Faculty,2,5,1,Blocked
1,Student,8,0,5,Allowed
0,Student,11,5,4,Blocked
0,Student,20,7,3,Blocked
1,Student,7,3,3,Blocked
1,Faculty,19,4,2,Blocked
1,Guest,6,3,7,Blocked
1,Student,21,6,8,Blocked
1,Faculty,0,3,2,Blocked
1,Faculty,1,2,10,Restricted
0,Student,16,5,10,Blocked
1,Faculty,12,3,2,Blocked
1,Student,3,1,9,Allowed
1,Guest,14,5,1,Blocked
0,Faculty,20,2,3,Blocked
1,Guest,2,4,5,Blocked
1,Faculty,9,4,9,Blocked
1,Faculty,18,1,7,Allowed
1,Guest,23,0,9,Allowed
0,Guest,15,7,6,Blocked
0,Faculty,0,3,6,Blocked
0,Faculty,14,7,3,Blocked
0,Student,0,2,1,Blocked
1,Student,17,3,6,Blocked
1,Faculty,1,0,5,Restricted
0,Student,12,6,10,Blocked
0,Student,21,4,3,Blocked
1,Guest,7,5,2,Blocked
0,Guest,22,5,8,Blocked
0,Guest,7,6,6,Blocked
0,Faculty,5,3,6,Blocked
0,Faculty,16,7,5,Blocked
0,Faculty,0,4,7,Blocked
1,Guest,0,4,3,Blocked
1,Student,2,1,5,Allowed
0,Guest,5,7,2,Blocked
1,Student,18,3,4,Blocked
1,Guest,0,4,4,Blocked
1,Faculty,16,4,1,Blocked
0,Faculty,15,7,7,Blocked
1,Student,3,4,9,Blocked
1,Faculty,0,5,5,Blocked
0,Faculty,12,0,9,Blocked
1,Guest,23,0,1,Allowed
0,Faculty,7,7,1,Blocked
0,Faculty,0,5,10,Blocked
0,Faculty,13,0,2,Blocked
1,Student,6,4,9,Blocked
1,Student,19,4,9,Blocked
1,Guest,12,6,10,Blocked
0,Student,12,7,7,Blocked
0,Faculty,14,6,6,Blocked
1,Guest,5,3,6,Blocked
1,Guest,7,2,4,Restricted
0,Guest,10,4,2,Blocked
1,Student,1,6,8,Blocked
0,Guest,12,6,1,Blocked
1,Guest,20,6,8,Blocked
